,price,sqft_living
0,2950000.0,4860
1,1905000.0,4210
2,875000.0,1220
3,940000.0,1220
4,4000000.0,7080
5,5570000.0,9200
6,937500.0,1320
7,1160000.0,2680
8,1880000.0,2620
9,3418800.0,5450
10,1555000.0,2870
11,1398000.0,2640
12,1320000.0,2680
13,6885000.0,9890
14,865000.0,1530
15,1000000.0,2300
16,2100000.0,3550
17,2575000.0,4780
18,1712750.0,2660
19,787500.0,1580
20,1651000.0,3640
21,1800000.0,4460
22,1550000.0,2950
23,1762000.0,3060
24,1225000.0,2740
25,2750000.0,4430
26,1950000.0,4150
27,2200000.0,3570
28,1260000.0,3110
29,2450000.0,4670
30,3640900.0,4830
31,2271150.0,4040
32,1620000.0,2350
33,3710000.0,5550
34,1200000.0,2150
35,2500000.0,4300
36,2187730.0,4240
37,1450000.0,3090
38,1880000.0,3260
39,2458000.0,6500
40,1350000.0,2070
41,2680000.0,4290
42,1410000.0,3250
43,1920000.0,3070
44,3635000.0,5490
45,2720000.0,3990
46,1950000.0,4065
47,2250000.0,3410
48,2900000.0,5190
49,1865000.0,3790
